STATION,short_name,lat,lon,Year,Month,TAVG_mean,TAVG_std,N_days,TMAX_mean,TMIN_mean
USC00200230,Ann Arbor UMich,42.2808,-83.743,2026,1,19.9,12.55,31,27.68,12.13
USC00200230,Ann Arbor UMich,42.2808,-83.743,2026,2,27.61,11.69,28,38.18,17.04
USC00200230,Ann Arbor UMich,42.2808,-83.743,2026,3,42.06,12.57,31,54.29,29.84
USC00200230,Ann Arbor UMich,42.2808,-83.743,2026,4,46.21,8.99,7,57.71,34.71
USC00200342,Atlanta MI,45.0042,-84.1439,2026,1,15.37,12.51,31,22.32,8.42
USC00200342,Atlanta MI,45.0042,-84.1439,2026,2,19.57,9.52,27,29.96,9.19
USC00200342,Atlanta MI,45.0042,-84.1439,2026,3,29.78,10.44,29,39.9,19.66
USC00200342,Atlanta MI,45.0042,-84.1439,2026,4,32.07,5.48,7,39.43,24.71
USC00200417,Bad Axe,43.8014,-83.0008,2026,1,18.39,12.07,31,24.58,12.19
USC00200417,Bad Axe,43.8014,-83.0008,2026,2,21.89,9.89,28,30.46,13.32
USC00200417,Bad Axe,43.8014,-83.0008,2026,3,33.85,9.64,30,42.53,25.17
USC00200417,Bad Axe,43.8014,-83.0008,2026,4,40.67,7.66,6,50.33,31.0
USC00200718,Bergland Dam,46.5883,-89.5728,2026,1,6.64,14.14,28,13.43,-0.14
USC00200718,Bergland Dam,46.5883,-89.5728,2026,2,18.27,9.76,28,28.21,8.32
USC00200718,Bergland Dam,46.5883,-89.5728,2026,3,23.82,10.4,22,34.68,12.95
USC00200718,Bergland Dam,46.5883,-89.5728,2026,4,28.36,6.66,7,35.71,21.0
USW00014850,Traverse City,44.7414,-85.5822,2026,1,19.69,11.67,31,24.97,14.42
USW00014850,Traverse City,44.7414,-85.5822,2026,2,25.34,7.67,28,33.61,17.07
USW00014850,Traverse City,44.7414,-85.5822,2026,3,33.63,8.99,31,41.74,25.52
USW00014850,Traverse City,44.7414,-85.5822,2026,4,36.71,5.24,7,45.57,27.86
USW00094817,Pontiac Airport,42.6653,-83.4185,2026,1,18.53,12.33,31,25.42,11.65
USW00094817,Pontiac Airport,42.6653,-83.4185,2026,2,25.21,10.26,28,34.29,16.14
USW00094817,Pontiac Airport,42.6653,-83.4185,2026,3,39.65,11.99,30,49.83,29.47
USW00094817,Pontiac Airport,42.6653,-83.4185,2026,4,47.88,7.38,4,58.25,37.5
USW00094836,Gwinn Sawyer AFB,46.3497,-87.3953,2026,1,13.21,12.32,31,18.9,7.52
USW00094836,Gwinn Sawyer AFB,46.3497,-87.3953,2026,2,21.39,7.62,28,29.21,13.57
USW00094836,Gwinn Sawyer AFB,46.3497,-87.3953,2026,3,28.9,8.83,24,36.62,21.17
USW00094836,Gwinn Sawyer AFB,46.3497,-87.3953,2026,4,28.5,3.24,4,31.5,25.5
USW00094893,Iron Mountain,45.8203,-88.1145,2026,1,12.29,13.12,31,19.77,4.81
USW00094893,Iron Mountain,45.8203,-88.1145,2026,2,21.46,9.15,28,31.89,11.04
USW00094893,Iron Mountain,45.8203,-88.1145,2026,3,32.52,8.69,28,42.96,22.07
USW00094893,Iron Mountain,45.8203,-88.1145,2026,4,31.92,3.64,6,37.5,26.33
